title,genres,countries,type,description,rating_imdb,votes_imdb,movieLength,ratingMpaa
sandy wexler,комедия,США,movie,"Лос-Анджелес, 1990-е годы. Менеджер Сэнди Уэкслер работает с группой эксцентричных артистов, не имеющих особого успеха в шоу-бизнесе. Герой проявляет невероятное усердие. Он влюбляется в собственного клиента, чрезвычайно талантливую певицу Кортни Кларк, с которой познакомился в парке аттракционов.",5.2,19022,130,
o amor no divã,комедия,Бразилия,movie,"Уважаемый семейный психолог Малка Стейн после консультации новой пары проблемных супругов вдруг понимает, что ее собственному 30-летнему браку также не помешает аналогичная помощь. Комическое переплетение историй терапии обеих семей, экспериментирующих над собой в попытке ускоренными темпами вернуть гармонию и яркость былой страсти.",5.6,334,0,
stronger than the world,короткометражка,США,movie,,7.9,930,30,
back and forth,короткометражка,США,movie,,8.1,11,4,
happily married,триллер,Индия,movie,,8.3,1045,90,
pandora,"фантастика, боевик, драма",США,tv-series,"2199-й год. Потерявшая всё Джакс начинает новую жизнь в космической академии, где вместе с друзьями учится защищать планету от человеческих и инопланетных угроз. Однако правда о прошлом девушки может как спасти Вселенную, так и уничтожить её.",4.3,6467,0,
the office (u.s.),комедия,США,tv-series,"Сериал о трудовых буднях небольшого регионального офиса крупной компании, обитатели которого целыми днями должны терпеть закидоны своего непутевого босса.",9.0,755754,0,
gossip girl,"драма, мелодрама",США,tv-series,"Студенты престижной частной школы на Манхэттене впервые узнают, что Серена Ван Дер Вудсен вернулась в город, способом, с помощью которого они узнают все важные новости школьной жизни - из всем известного блога Сплетницы. Никто не знает кто она такая, однако все полагаются на публикуемые ею последние сплетни. Лучшая подруга Серены, Блэр, удивлена не меньше остальных, что Серена внезапно переменила свое решение об учебе за границей и вернулась в Манхэттен. Напряжение между ними не осталось незамеченным для Сплетницы, которая раскрывает любую тайну и делает достоянием общественности все скандалы.

Имеет ли это отношение к брату Серены, Эрику, бойфренду Блэйр, Нейту, или другу Нейта, Чаку? Может быть это как-то связано с Дэном и его сестрой Дженни, чье происхождение из среднего класса держит их на расстоянии от привилегированных студентов. Даже родители, начиная от матери Серены, Лили, бывшей фотожурналистки, влиятельного отца Нейта, Хуви, и заканчивая Руфусом, отцом Дэна и Дженни, ныне владельцем картинной галереи, а в прошлом солиста рок-группы, осведомлены о влиянии Сплетницы на жизнь их отпрысков. Однако главная интрига так и остается тайной: кто же такая Сплетница?",7.5,202060,0,
parks and recreation,комедия,США,tv-series,"Простой чиновник Лесли Ноуп однажды поняла, что своей работой не приносит обществу никакой пользы. Тогда же она решает превратить заброшенный карьер практически в парк культуры и отдыха. Препятствием на её пути, конечно же, станут негибкая бюрократическая система, эгоистичные соседи, не желающие перемен даже к лучшему, и фирмы-застройщики, сразу заинтересовавшиеся ненужным им до этого бесхозным участком. Но Лесли им не уступит...",8.6,298352,0,
glee,"мюзикл, драма, комедия, музыка",США,tv-series,"Учитель испанского языка собирается возродить школьный хор. Во времена, когда он сам был учеником, слава хора гремела на весь штат. Теперь это пристанище для неудачников и аутсайдеров – тех, кого не берут в крутые школьные тусовки. Но Уилл Шустер сделает из забитых хористов настоящих звезд!",6.8,157766,0,
family guy,"мультфильм, комедия",США,animated-series,"Типичная американская семья, члены которой способны разбить все возможные стереотипы. А говорящая собака с сигаретой и сухим мартини... А грудной малыш, мечтающий поработить весь мир... Разве это отклонение? Это катарсис в каждом эпизоде!",8.1,372712,0,
criminal minds,"триллер, драма, криминал, детектив",США,tv-series,"В Сиэтле за короткое время пропали без вести четыре молодые девушки. Возникает версия, что в городе появился серийный маньяк-убийца. За расследование этого криминального случая берется спецподразделение ФБР, специализирующееся на поведенческом анализе действий преступников.
Во главе этого подразделения стоит Джейсон Гидеон, который со своими напарниками пытается вычислить преступника, создавая его психологический портрет. Джейсон - не частый гость криминалистических лабораторий ФБР. Он и его команда выезжают на места преступлений, опрашивают свидетелей, анализируют и изучают психологическую сторону жизни преступника.",8.1,227263,0,
friends,"комедия, мелодрама",США,tv-series,"Шестеро друзей – Рейчел, Моника, Фиби, Джоуи, Чендлер и Росс – живут по соседству, вместе убивают время, делятся секретами и иногда очень сильно влюбляются.",8.9,1126162,0,
the secret life of the american teenager,"драма, мелодрама, комедия, семейный",США,tv-series,"Милая девушка Эми из школьного оркестра умна, талантлива ... и беременна. Повернутая на христианстве чирлидерша Грейс хочет дождаться свадьбы. Их тайны начинают распространяться среди друзей и родственников. Этому способствуют плохой мальчик Рики и дрянная девчонка Эдриан. Все окажется на поверхности.",4.9,21192,0,
one tree hill,"драма, мелодрама, спорт",США,tv-series,"Помимо любви к баскетболу, кажется, что у Лукаса и Нейтена, двух молодых людей, нет ничего общего. За исключением темной тайны, заключающейся в том, что у них один отец. Высокомерный и уверенный, Нейтен — звезда баскетбольной команды средней школы и принадлежит самой богатой семье в городе.

Тихий и задумчивый, Лукас — единственный ребенок матери-одиночки. Он всегда держался на расстоянии от Нейтена. Но их жизни сталкиваются, когда Лукас попадает в команду Нейтена.",7.8,89837,0,
shameless (u.s.),"драма, комедия",США,tv-series,"О взбалмошной многодетной семье Галлагеров и их соседях, которые веселятся, попадают в самые невероятные ситуации и пытаются выжить в этом мире всеми возможными средствами, но при этом как можно меньше работая.",8.5,303223,0,
new girl,"мелодрама, комедия",США,tv-series,"Комедия о сексуальных отношениях мужчин и женщин. В центре сюжета – Джессика, оптимистичная, но несчастная в любви учительница начальной школы, которая после последнего разрыва въезжает в квартиру, где уже живут три парня.",7.8,252433,0,
american horror story,"ужасы, фантастика, триллер, драма",США,tv-series,"Первый сезон. Семейство Хармонов переезжает из Бостона в Лос-Анджелес, чтобы начать новую жизнь, и поселяются в старинном отреставрированном особняке, не представляя, что его предыдущие жильцы так и не нашли покоя после смерти.
Второй сезон. Журналистка приезжает в лечебницу для душевнобольных преступников в надежде снять репортаж о новоприбывшем маньяке по прозвищу Кровавый Лик.
Третий сезон. Шабаш ведьм, замаскированный под элитный пансион для одаренных девушек, пытается защитить последних представительниц этого вида от вымирания.
Четвёртый сезон. История одного из последних цирков уродов в 1950-х годах.
Пятый сезон. Отель в центральной части Лос-Анджелеса скрывает в своих стенах множество секретов.
Шестой сезон. Пара из Калифорнии переезжает в новый дом, где её начинают преследовать паранормальные явления. 
Седьмой сезон. История президентских выборов 2016 года в США.
Восьмой сезон. Несколько стран запустили ядерные ракеты, уничтожившие большую часть населения Земли. Избранным «счастливчикам» посчастливилось укрыться в бункере.
Девятый сезон. Пять друзей отправляются работать вожатыми в детский лагерь. Осваиваясь на новой работе, молодые люди начинают понимать, что прошлое, которое их преследует, куда опаснее лагерных страшилок, рассказанных у костра.
Десятый сезон. Испытывающий проблемы писатель, его беременная жена и их дочь переезжают на зиму в пляжный городок. Как только они обустраиваются, истинные жители города начинают заявлять о себе. А также группа студентов, отправившихся в поход, оказывается в эпицентре заговора, который готовился десятилетиями.",7.9,351924,0,
